# th_rep f_rep
-0.4173 6.5363
-0.4128 4.6324
-0.4083 4.5368
-0.4038 4.6355
-0.3992 4.7410
-0.3948 3.2023
-0.3902 3.2387
-0.3858 2.8653
-0.3813 2.5494
-0.3768 1.8915
-0.3723 1.9419
-0.3678 1.2876
-0.3633 1.2120
-0.3588 1.2227
-0.3543 1.2675
-0.3498 1.2495
-0.3453 0.8509
-0.3407 0.7661
-0.3363 0.6147
-0.3317 0.6250
-0.3273 0.6648
-0.3227 0.5759
-0.3183 0.4784
-0.3138 0.3323
-0.3093 0.2794
-0.3048 0.2079
-0.3003 0.1094
-0.2958 0.1045
-0.2913 0.0000
-0.2868 0.0853
-0.2823 0.0705
-0.2777 0.1734
-0.2732 0.0459
-0.2687 0.0719
-0.2642 0.1328
-0.2598 0.1370
-0.2553 0.2388
-0.2508 0.1859
-0.2463 0.2885
-0.2418 0.3974
-0.2373 0.4624
-0.2328 0.4565
-0.2283 0.7898
-0.2238 0.7320
-0.2193 0.9051
-0.2147 0.9504
-0.2102 1.1054
-0.2057 1.2297
-0.2012 1.3274
-0.1967 1.6473
-0.1922 1.7798
-0.1878 2.2668
-0.1833 2.1958
-0.1788 2.1892
-0.1743 2.7811
-0.1698 2.5631
-0.1653 3.3631
-0.1608 2.8676
-0.1562 4.0706
-0.1517 3.6047
-0.1472 3.8597
-0.1427 3.6711
-0.1382 4.7107
-0.1337 6.7831
-0.1292 6.5181
-0.1247 6.8493
-0.1202 8.0966

# th_umbr f_umbr
-0.5433 8.1342
-0.5388 7.8189
-0.5343 7.6223
-0.5298 7.4512
-0.5252 7.2253
-0.5208 7.0741
-0.5163 6.8391
-0.5118 6.5918
-0.5073 6.3890
-0.5028 6.2659
-0.4983 6.1715
-0.4938 6.0237
-0.4893 5.8393
-0.4848 5.7278
-0.4803 5.5225
-0.4758 5.3007
-0.4713 5.0975
-0.4668 4.8751
-0.4623 4.6958
-0.4578 4.6300
-0.4533 4.4689
-0.4488 4.2285
-0.4443 4.1165
-0.4398 3.8591
-0.4353 3.6267
-0.4308 3.4459
-0.4263 3.2664
-0.4218 3.0907
-0.4173 2.8885
-0.4128 2.6590
-0.4083 2.3910
-0.4038 2.1998
-0.3992 1.9752
-0.3948 1.7467
-0.3902 1.6123
-0.3858 1.5180
-0.3813 1.3927
-0.3768 1.3336
-0.3723 1.1668
-0.3678 1.1076
-0.3633 1.1208
-0.3588 0.9520
-0.3543 0.8374
-0.3498 0.7040
-0.3453 0.6242
-0.3407 0.4974
-0.3363 0.3574
-0.3317 0.3141
-0.3273 0.2034
-0.3227 0.1446
-0.3183 0.0807
-0.3138 0.1154
-0.3093 0.1001
-0.3048 0.0509
-0.3003 0.0694
-0.2958 0.0677
-0.2913 0.0448
-0.2868 0.0643
-0.2823 0.0000
-0.2777 0.0180
-0.2732 0.0705
-0.2687 0.0681
-0.2642 0.0303
-0.2598 0.1400
-0.2553 0.1625
-0.2508 0.2077
-0.2463 0.2428
-0.2418 0.3694
-0.2373 0.4148
-0.2328 0.4640
-0.2283 0.5248
-0.2238 0.6566
-0.2193 0.6830
-0.2147 0.8288
-0.2102 0.9101
-0.2057 1.0923
-0.2012 1.2706
-0.1967 1.5150
-0.1922 1.6705
-0.1878 1.9071
-0.1833 2.1664
-0.1788 2.3551
-0.1743 2.6292
-0.1698 2.9142
-0.1653 3.1283
-0.1608 3.3712
-0.1562 3.6696
-0.1517 3.9397
-0.1472 4.2641
-0.1427 4.5434
-0.1382 4.8512
-0.1337 5.2640
-0.1292 5.5360
-0.1247 5.9344
-0.1202 6.2525
-0.1158 6.6517
-0.1113 6.9552
-0.1068 7.3503
-0.1023 7.7598

# th_all f_all
-0.5432 10.4318
-0.5387 10.0925
-0.5342 9.8263
-0.5297 9.5994
-0.5252 9.3654
-0.5207 9.2118
-0.5162 8.9690
-0.5117 8.6753
-0.5072 8.3999
-0.5027 8.2542
-0.4982 8.1549
-0.4937 8.0044
-0.4892 7.7983
-0.4847 7.6044
-0.4802 7.3365
-0.4757 7.1032
-0.4712 6.8982
-0.4667 6.6684
-0.4622 6.4471
-0.4577 6.2982
-0.4532 6.1047
-0.4487 5.8617
-0.4442 5.7471
-0.4397 5.4752
-0.4352 5.1682
-0.4307 4.9168
-0.4262 4.7229
-0.4217 4.5453
-0.4172 4.3384
-0.4127 4.0649
-0.4082 3.6966
-0.4037 3.4516
-0.3992 3.2204
-0.3947 2.9880
-0.3902 2.8294
-0.3857 2.6153
-0.3812 2.3810
-0.3767 2.2917
-0.3722 2.1239
-0.3677 2.0386
-0.3632 1.9452
-0.3587 1.6362
-0.3542 1.4646
-0.3497 1.3208
-0.3452 1.2275
-0.3407 1.0607
-0.3362 0.8039
-0.3317 0.7036
-0.3272 0.5899
-0.3227 0.5283
-0.3182 0.4373
-0.3137 0.3586
-0.3092 0.2583
-0.3047 0.1784
-0.3002 0.1958
-0.2957 0.1923
-0.2912 0.0844
-0.2867 0.0466
-0.2822 0.0000
-0.2777 0.0522
-0.2732 0.0867
-0.2687 0.0720
-0.2642 0.0181
-0.2597 0.1596
-0.2552 0.2465
-0.2507 0.3013
