# th_rep f_rep
-0.7557 3.9870
-0.7535 2.6079
-0.7513 2.2244
-0.7491 1.4814
-0.7469 1.0495
-0.7447 0.4044
-0.7425 0.1715
-0.7403 0.0956
-0.7381 0.0614
-0.7359 0.0000
-0.7337 0.1417
-0.7315 0.3021
-0.7293 0.4387
-0.7271 0.3642
-0.7249 0.4153
-0.7227 0.5584
-0.7205 0.7954
-0.7183 0.9064
-0.7161 0.9997
-0.7139 1.5824
-0.7117 1.8496
-0.7095 2.0890
-0.7073 3.0471
-0.7051 3.0231
-0.7029 3.4526
-0.7007 3.7043
-0.6985 3.5668
-0.6963 5.7038
-0.6941 5.1942
-0.6919 5.6856
-0.6897 5.9918

# th_umbr f_umbr
-0.7667 15.4030
-0.7645 13.5363
-0.7623 11.7838
-0.7601 10.2348
-0.7579 8.9056
-0.7557 7.7062
-0.7535 6.7533
-0.7513 5.9013
-0.7491 5.0717
-0.7469 4.3861
-0.7447 3.7196
-0.7425 3.2427
-0.7403 2.7057
-0.7381 2.2156
-0.7359 1.6778
-0.7337 1.0945
-0.7315 0.5669
-0.7293 0.2264
-0.7271 0.0913
-0.7249 0.0000
-0.7227 0.0201
-0.7205 0.0166
-0.7183 0.0762
-0.7161 0.2722
-0.7139 0.7375
-0.7117 1.2492
-0.7095 1.7666
-0.7073 2.2125
-0.7051 2.5325
-0.7029 2.6908
-0.7007 2.8647
-0.6985 3.1203
-0.6963 3.3149
-0.6941 3.6358
-0.6919 4.1318
-0.6897 4.7361
-0.6875 5.2562
-0.6853 5.7159
-0.6831 6.1779
-0.6809 6.6240
-0.6787 6.9403
-0.6765 7.2880
-0.6743 7.5134
-0.6721 7.6988
-0.6699 7.8648
-0.6677 8.0190
-0.6655 8.2002
-0.6633 8.5318
-0.6611 8.8489
-0.6589 9.1971
-0.6567 9.4123
-0.6545 9.6216
-0.6523 9.7876
-0.6501 9.9481
-0.6479 10.0473
-0.6457 10.0843
-0.6435 10.0970
-0.6413 10.2158
-0.6391 10.4554
-0.6369 10.8336
-0.6347 11.1130
-0.6325 11.3944
-0.6303 11.6312
-0.6281 11.7500
-0.6259 11.8988
-0.6237 11.9909
-0.6215 12.0835
-0.6193 12.0629
-0.6171 12.0970
-0.6149 12.1622
-0.6127 12.2716
-0.6105 12.3998
-0.6083 12.5136
-0.6061 12.6422
-0.6039 12.7579
-0.6017 12.7872
-0.5995 12.8721
-0.5973 12.9987
-0.5951 13.0026
-0.5929 12.9427
-0.5907 12.9242
-0.5885 12.9149
-0.5863 13.1406
-0.5841 13.1486
-0.5819 13.1778
-0.5797 13.2958
-0.5775 13.3060
-0.5753 13.4016
-0.5731 13.3229
-0.5709 13.3703
-0.5687 13.4979
-0.5665 13.5924
-0.5643 13.7631
-0.5621 13.8456
-0.5599 13.9637
-0.5577 14.0610
-0.5555 13.9579
-0.5533 13.9130
-0.5511 13.8127

# th_all f_all
-0.7667 14.3646
-0.7645 12.5023
-0.7623 10.7559
-0.7601 9.2181
-0.7579 7.9032
-0.7557 6.7162
-0.7535 5.7757
-0.7513 4.9386
-0.7491 4.1563
-0.7469 3.5369
-0.7447 2.9224
-0.7425 2.4783
-0.7403 1.9373
-0.7381 1.4792
-0.7359 0.9905
-0.7337 0.5660
-0.7315 0.2505
-0.7293 0.0924
-0.7271 0.0452
-0.7249 0.0000
-0.7227 0.0497
-0.7205 0.0767
-0.7183 0.1444
-0.7161 0.3223
-0.7139 0.7908
-0.7117 1.2717
-0.7095 1.7753
-0.7073 2.2219
-0.7051 2.5323
-0.7029 2.6868
-0.7007 2.8531
-0.6985 3.0899
-0.6963 3.2594
-0.6941 3.5354
-0.6919 3.9975
-0.6897 4.5833
-0.6875 5.0977
-0.6853 5.5546
-0.6831 6.0149
-0.6809 6.4602
-0.6787 6.7752
-0.6765 7.1209
-0.6743 7.3413
-0.6721 7.5138
-0.6699 7.6502
-0.6677 7.7556
-0.6655 7.8861
-0.6633 8.1867
-0.6611 8.4902
-0.6589 8.8335
-0.6567 9.0469
-0.6545 9.2557
-0.6523 9.4212
-0.6501 9.5808
-0.6479 9.6774
-0.6457 9.7064
-0.6435 9.6991
-0.6413 9.7822
-0.6391 9.9827
-0.6369 10.3356
-0.6347 10.6034
-0.6325 10.8799
-0.6303 11.1148
-0.6281 11.2325
-0.6259 11.3809
-0.6237 11.4717
-0.6215 11.5614
-0.6193 11.5332
-0.6171 11.5478
-0.6149 11.5737
-0.6127 11.6364
-0.6105 11.7330
-0.6083 11.8320
-0.6061 11.9550
-0.6039 12.0687
-0.6017 12.0974
-0.5995 12.1817
-0.5973 12.3073
-0.5951 12.3081
-0.5929 12.2393
-0.5907 12.1973
-0.5885 12.1470
-0.5863 12.3286
-0.5841 12.3088
-0.5819 12.3265
-0.5797 12.4403
-0.5775 12.4489
-0.5753 12.5439
-0.5731 12.4645
-0.5709 12.5098
-0.5687 12.6314
-0.5665 12.7091
-0.5643 12.8449
-0.5621 12.8735
-0.5599 12.9469
-0.5577 13.0186
-0.5555 12.9038
-0.5533 12.8537
-0.5511 12.7515
